Year,Artist,Category
1982,John Lennon & Yoko Ono,Album of the Year
1982,Sheena Easton,Best New Artist
1982,Kim Carnes,Record of the Year
1982,"Bette Davis Eyes"" *",Song of the Year
1981,Christopher Cross,Album of the Year
1981,Christopher Cross,Best New Artist
1981,Christopher Cross,Record of the Year
1981,"Sailing"" *",Song of the Year
1980,Billy Joel,Album of the Year
1980,Rickie Lee Jones,Best New Artist
1980,The Doobie Brothers,Record of the Year
1980,"What a Fool Believes"" *",Song of the Year
1979,Bee Gees,Album of the Year
1979,A Taste of Honey,Best New Artist
1979,Billy Joel,Record of the Year
1979,"Flood & Alan Moulder, producers",Record of the Year
1979,"Just the Way You Are"" *",Song of the Year
1978,Fleetwood Mac,Album of the Year
1978,Debby Boone,Best New Artist
1978,Eagles,Record of the Year
1978,Evergreen (Love Theme from A Star Is Born),Song of the Year
1977,Stevie Wonder,Album of the Year
1977,Starland Vocal Band,Best New Artist
1977,George Benson,Record of the Year
1977,I Write the Songs,Song of the Year
1976,Paul Simon,Album of the Year
1976,Natalie Cole,Best New Artist
1976,Captain & Tennille,Record of the Year
1976,Send In the Clowns,Song of the Year
1975,Stevie Wonder,Album of the Year
1975,Marvin Hamlisch,Best New Artist
1975,Olivia Newton-John,Record of the Year
1975,The Way We Were,Song of the Year
1974,Stevie Wonder,Album of the Year
1974,Bette Midler,Best New Artist
1974,Roberta Flack,Record of the Year
1974,"Killing Me Softly with His Song"" *",Song of the Year
1973,George Harrison & Friends,Album of the Year
1973,America,Best New Artist
1973,Roberta Flack,Record of the Year
1973,"The First Time Ever I Saw Your Face"" *",Song of the Year
1972,Carole King,Album of the Year
1972,Carly Simon,Best New Artist
1972,Carole King,Record of the Year
1972,You've Got a Friend,Song of the Year
1971,Simon & Garfunkel,Album of the Year
1971,The Carpenters,Best New Artist
1971,Simon & Garfunkel,Record of the Year
1971,"Bridge over Troubled Water"" *",Song of the Year
1970,"Blood, Sweat & Tears",Album of the Year
1970,"Crosby, Stills & Nash",Best New Artist
1970,The 5th Dimension,Record of the Year
1970,Games People Play,Song of the Year
1969,Glen Campbell,Album of the Year
1969,José Feliciano,Best New Artist
1969,Simon & Garfunkel,Record of the Year
1969,Little Green Apples,Song of the Year
1968,The Beatles,Album of the Year
1968,Bobbie Gentry,Best New Artist
1968,Sgt. Pepper's Lonely Hearts Club Band,Best Pop Vocal Album
1968,The 5th Dimension,Record of the Year
1968,"Up, Up, and Away"" *",Song of the Year
1967,Frank Sinatra,Album of the Year
1967,No award[II],Best New Artist
1967,Frank Sinatra,Record of the Year
1967,Michelle,Song of the Year
1966,Frank Sinatra,Album of the Year
1966,Tom Jones,Best New Artist
1966,Herb Alpert & the Tijuana Brass,Record of the Year
1966,The Shadow of Your Smile,Song of the Year
1965,Stan Getz & João Gilberto,Album of the Year
1965,The Beatles,Best New Artist
1965,Stan Getz & Astrud Gilberto,Record of the Year
1965,"Hello, Dolly!",Song of the Year
1964,Barbra Streisand,Album of the Year
1964,The Swingle Singers,Best New Artist
1964,Henry Mancini,Record of the Year
1964,"Days of Wine and Roses"" *",Song of the Year
1963,Vaughn Meader,Album of the Year
1963,Robert Goulet,Best New Artist
1963,Tony Bennett,Record of the Year
1963,What Kind of Fool Am I?,Song of the Year
1962,Judy Garland,Album of the Year
1962,Peter Nero,Best New Artist
1962,Henry Mancini,Record of the Year
1962,"Moon River"" *",Song of the Year
1961,Bob Newhart,Album of the Year
1961,Bob Newhart,Best New Artist
1961,Percy Faith,Record of the Year
1961,Theme of Exodus,Song of the Year
1960,Frank Sinatra,Album of the Year
1960,Bobby Darin,Best New Artist
1960,The Battle of New Orleans,Song of the Year
1959,Henry Mancini,Album of the Year
1959,Domenico Modugno,Record of the Year
1959,Bobby Darin,Record of the Year
1959,"Nel blu, dipinto di blu (Volare)"" *",Song of the Year
